Epoch,Loss,Micro_f1,Macro_f1,NMI,ARI,Purity,Silhouette
85,1.2930832703908284,0.6802218114602587,0.6661975218627606,0.0158,0.0072,0.3105,0.3670
86,1.2901150107383728,0.6943930991990142,0.6800641218710987,0.0326,0.0174,0.3252,0.3294
87,1.2785401622454324,0.6882316697473814,0.672978769746064,0.0142,0.0056,0.3092,0.3518
88,1.27128892938296,0.6953173136167591,0.679977908203685,0.0050,0.0005,0.3000,0.3814
89,1.26533855398496,0.699630314232902,0.6842988441382497,0.0261,0.0155,0.3239,0.3156
90,1.2561083575089773,0.6987060998151571,0.6819246752323769,0.0250,0.0125,0.3188,0.3609
91,1.2494506498177846,0.6968576709796673,0.6804193716600018,0.0405,0.0270,0.3351,0.3184
92,1.24706209897995,0.7051756007393716,0.6884679132522548,0.0202,0.0097,0.3154,0.3671
93,1.240392537911733,0.7125693160813309,0.6957027014865403,0.0405,0.0289,0.3360,0.2735
94,1.2353659292062125,0.7113370301910044,0.6945036625954971,0.0456,0.0369,0.3403,0.2762
95,1.2286357263724008,0.7168823166974738,0.7009459064515373,0.0555,0.0433,0.3465,0.2765
96,1.2252186238765717,0.7196549599507086,0.7041211952541065,0.0118,0.0037,0.3078,0.3451
97,1.2199250638484955,0.7211953173136167,0.7062701362916133,0.0267,0.0124,0.3208,0.3249
98,1.2154983123143515,0.7190388170055453,0.7040388293877546,0.0280,0.0184,0.3243,0.3424
99,1.210375142097473,0.7258163894023414,0.7115793499199495,0.0492,0.0373,0.3437,0.2497
100,1.2070784588654837,0.7267406038200862,0.7114989812466402,0.0086,0.0010,0.3049,0.3514
101,1.2029310047626496,0.7313616759088108,0.7164355063031418,0.0126,0.0046,0.3100,0.3476
102,1.1987574557463327,0.7292051756007394,0.7139914090479778,0.0497,0.0398,0.3463,0.2970
103,1.197028354803721,0.7282809611829945,0.712860147215592,0.0480,0.0366,0.3454,0.2737
104,1.192546115318934,0.7252002464571781,0.71166572971356,0.0333,0.0290,0.3337,0.2969
105,1.1879948953787485,0.7387553912507702,0.7260313266075016,0.0771,0.0667,0.3750,0.1857
106,1.1848850488662719,0.7498459642637092,0.7385507772050306,0.0172,0.0076,0.3134,0.4033
107,1.1823626359303792,0.7479975354282193,0.7357667698005748,0.0191,0.0086,0.3181,0.3070
108,1.1859151124954224,0.748305606900801,0.7361415388492373,0.0136,0.0052,0.3122,0.3080
109,1.180672554175059,0.7535428219346888,0.7419491488002291,0.0136,0.0067,0.3123,0.3287
110,1.17376140554746,0.7489217498459643,0.7385428581161585,0.0747,0.0682,0.3724,0.1811
111,1.1758619407812754,0.7504621072088724,0.7404697714675177,0.0527,0.0450,0.3488,0.2671
112,1.1739156246185303,0.7535428219346888,0.7429136733872916,0.0532,0.0489,0.3474,0.2269
113,1.170932267109553,0.7590881084411584,0.7473054916158716,0.0379,0.0358,0.3362,0.2811
114,1.1711786031723022,0.755083179297597,0.7445780192893084,0.0645,0.0567,0.3578,0.2030
115,1.1656754036744437,0.7587800369685767,0.7477355724734752,0.0412,0.0390,0.3419,0.2023
116,1.1644221067428588,0.7658656808379544,0.7562253468329289,0.0576,0.0521,0.3491,0.2180
117,1.161480281750361,0.7720271102895871,0.7617328796492182,0.0502,0.0480,0.3518,0.1922
118,1.1604082485040028,0.7803450400492914,0.770884282484906,0.1029,0.1035,0.3995,0.1349
119,1.1590493023395538,0.7784966112138016,0.7688866249817148,0.0491,0.0460,0.3432,0.2430
120,1.1552624980608621,0.7803450400492914,0.7693471860148897,0.0273,0.0218,0.3228,0.2696
121,1.1513727406660716,0.7775723967960567,0.7677689232672933,0.0420,0.0423,0.3443,0.2238
122,1.1503610491752625,0.7794208256315465,0.7690164853995951,0.0396,0.0327,0.3338,0.2508
123,1.1477023899555205,0.7788046826863833,0.7684934050388621,0.0496,0.0489,0.3425,0.2151
124,1.1499924540519715,0.7775723967960567,0.7673416471262173,0.0959,0.0923,0.3822,0.1780
125,1.1462632377942403,0.7803450400492914,0.7699064067872545,0.0905,0.0914,0.3811,0.1427
126,1.1458799064159393,0.7800369685767098,0.7692004482871968,0.0742,0.0730,0.3690,0.1448
127,1.142640471458435,0.7843499691928527,0.77389828444497,0.0766,0.0733,0.3672,0.1693
